epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.669,1.29287,2.384,1.14893,0.78882,0.69024,0.81169,0.60476,0.87025,1.78874,1.19606,0.000660714,0.000660714,0.000660714
2,802.68,1.38451,1.65368,1.19586,0.74147,0.74821,0.77732,0.56634,1.05319,1.49251,1.30312,0.0013011,0.0013011,0.0013011
3,1214.51,1.40736,1.34298,1.24181,0.70575,0.59783,0.68333,0.48361,1.17315,1.53915,1.38401,0.00191508,0.00191508,0.00191508
4,1608.38,1.43481,1.19035,1.2482,0.79665,0.6413,0.73538,0.4967,1.15768,1.54485,1.40516,0.0018812,0.0018812,0.0018812
5,2017.08,1.3613,1.08802,1.20055,0.90915,0.83696,0.91207,0.64978,1.03462,1.09552,1.23806,0.0018416,0.0018416,0.0018416
6,2428.23,1.31726,0.99809,1.18163,0.79001,0.81522,0.86629,0.61917,0.99886,1.01742,1.20793,0.001802,0.001802,0.001802
7,2822.93,1.31122,0.94656,1.1633,0.93463,0.83696,0.93167,0.70977,0.92853,0.81327,1.14749,0.0017624,0.0017624,0.0017624
8,3220.12,1.29517,0.9113,1.14226,0.90456,0.8587,0.93343,0.69109,0.97623,0.73409,1.16975,0.0017228,0.0017228,0.0017228
9,3603.78,1.25876,0.87284,1.1396,0.95731,0.73122,0.8843,0.70278,0.87412,0.80103,1.10129,0.0016832,0.0016832,0.0016832
10,6702.43,1.24219,0.84643,1.12129,0.92576,0.81324,0.91438,0.73954,0.76827,0.69083,1.04684,0.0016436,0.0016436,0.0016436
11,7047.85,1.21197,0.80458,1.11719,0.95466,0.80435,0.92063,0.75595,0.80247,0.70308,1.0503,0.001604,0.001604,0.001604
12,7389.07,1.19793,0.78366,1.10918,0.91363,0.91989,0.95527,0.72942,0.87687,0.65367,1.06984,0.0015644,0.0015644,0.0015644
13,7742.78,1.20633,0.79614,1.11573,0.90614,0.8587,0.90851,0.71225,0.88483,0.729,1.1282,0.0015248,0.0015248,0.0015248
14,8092.89,1.16963,0.7697,1.09904,0.85811,0.92035,0.93665,0.75192,0.75884,0.62251,1.02386,0.0014852,0.0014852,0.0014852
15,8444.92,1.16221,0.7315,1.08138,0.97628,0.89491,0.97244,0.80169,0.74691,0.52537,1.00406,0.0014456,0.0014456,0.0014456
16,8823.61,1.09907,0.68665,1.05729,0.96188,0.86957,0.96654,0.78725,0.71743,0.51062,0.98861,0.001406,0.001406,0.001406
17,9209.98,1.12708,0.69385,1.06916,0.95035,0.86957,0.93499,0.76552,0.77642,0.55167,1.01729,0.0013664,0.0013664,0.0013664
18,9565.42,1.10708,0.68703,1.07744,0.93548,0.94558,0.96691,0.79656,0.707,0.48155,0.98759,0.0013268,0.0013268,0.0013268
19,9927.95,1.1464,0.67675,1.07247,0.92446,0.94565,0.978,0.80965,0.71248,0.45386,0.97399,0.0012872,0.0012872,0.0012872
20,10319.1,1.08243,0.65948,1.05959,0.96523,0.90537,0.97272,0.8151,0.68065,0.47377,0.98213,0.0012476,0.0012476,0.0012476
21,10695.7,1.09939,0.65296,1.05856,0.96644,0.93894,0.96662,0.80552,0.669,0.48076,0.97259,0.001208,0.001208,0.001208
